(swalp) qian@salad:~/mi2019/SWALP$ ./exp/block_vgg_swa.sh CIFAR10 100
Checkpoint directory ./checkpoint/block-CIFAR10-VGG16LP/seed100
Tensorboard loggint at runs/block-CIFAR10-VGG16LP/seed100_10_24_00_36
Prepare data loaders:
Loading dataset CIFAR10 from .
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Prepare quantizers:
Block rounding, W:8, A:8, G:8, E:8, Acc:8
lr init: 0.05
swa start: 200.0 swa lr: 0.01
Model: VGG16LP
Prepare SWA training
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
 275    0.0100     0.0773   97.4800     0.3998   90.0100       93.3700   54.8625
 276    0.0100     0.0762   97.4740     0.4099   90.1100       93.3700   54.7487
 277    0.0100     0.0732   97.6780     0.3792   90.0500       93.3400   54.9868
 278    0.0100     0.0712   97.7160     0.3928   90.3300       93.3800   54.8640
 279    0.0100     0.0755   97.4620     0.4113   90.2200       93.3900   54.8828
 280    0.0100     0.0742   97.5780     0.3658   90.9800       93.4200   54.9380
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_acc      time
----  --------  ---------  --------  ---------  --------  ------------  --------
 281    0.0100     0.0724   97.6840     0.4023   89.5500       93.4000   54.8504
 282    0.0100     0.0779   97.4580     0.3658   90.3200       93.4500   54.8468
 283    0.0100     0.0745   97.6160     0.3880   90.6700       93.4700   54.9738
 284    0.0100     0.0737   97.6220     0.3776   90.1700       93.3800   54.9428
 285    0.0100     0.0759   97.4860     0.3462   91.0100       93.3800   54.8640
 286    0.0100     0.0765   97.5120     0.3759   90.2100       93.3800   54.7746
 287    0.0100     0.0731   97.6360     0.3752   89.8300       93.3500   54.8548
 288    0.0100     0.0765   97.4860     0.3680   90.8400       93.3500   54.9735
 289    0.0100     0.0742   97.5560     0.3782   90.4900       93.3500   54.9688
 290    0.0100     0.0708   97.6220     0.3996   90.1600       93.3400   54.9134
 291    0.0100     0.0764   97.5520     0.3777   90.1800       93.3500   55.0113
 292    0.0100     0.0727   97.6720     0.4391   88.9300       93.3700   54.9155
 293    0.0100     0.0782   97.4560     0.3544   91.1200       93.3700   54.8994
 294    0.0100     0.0780   97.4880     0.3759   90.4600       93.4100   54.9226
 295    0.0100     0.0780   97.4440     0.4226   89.4600       93.4000   54.9353
 296    0.0100     0.0722   97.6380     0.3973   90.0100       93.3900   54.8948
 297    0.0100     0.0708   97.6660     0.3882   90.0600       93.4000   54.9627
 298    0.0100     0.0762   97.5700     0.4038   89.7800       93.4000   54.7182
 299    0.0100     0.0742   97.5700     0.3808   90.4200       93.3900   54.9483
 300    0.0100     0.0737   97.5740     0.3563   90.5000       93.4100   54.9172
Done
SGD Error : 7.340000000000003
SWA Error : 6.609999999999999

